SYMBOL	ALIAS	HGNC	ENTREZ
RBMS3-AS1	RBMS3-AS1	39987	100873977
RBMS3-AS2	RBMS3-AS2	39988	100873978
RBMS3-AS3	RBMS3-AS3	39989	100873979
RBMX	RNMX	9910	27316
RBMX	hnRNP-G	9910	27316
RBMX	HNRNPG	9910	27316
RBMX	RBMX	9910	27316
RBMX2	CGI-79	24282	51634
RBMX2	Snu17	24282	51634
RBMX2	RBMX2	24282	51634
RBMX2P1	RBMX2P1	39923	100128341
RBMX2P2	RBMX2P2	39924	100132808
RBMX2P3	RBMX2P3	39925	100421047
RBMX2P4	RBMX2P4	39926	100862677
RBMX2P5	RBMX2P5	39927	391804
RBMXL1	RBMXL1	25073	494115
RBMXL2	HNRNPG-T	17886	27288
RBMXL2	HNRPGT	17886	27288
RBMXL2	RBMXL2	17886	27288
RBMXL3	FLJ40249	26859	139804
RBMXL3	CXorf55	26859	139804
RBMXL3	RBMXL3	26859	139804
RBMXP1	HNRNP-G	9911	3186
RBMXP1	HNRPG	9911	3186
RBMXP1	RBMXP1	9911	3186
RBMXP2	RBMXP2	23284	441391
RBMXP3	RBMXP3	33949	143543
RBMXP4	RBMXP4	34028	100132580
RBMXP5	RBMXP5	54979	100288788
RBMY1A1	YRRM1	9912	5940
RBMY1A1	YRRM2	9912	5940
RBMY1A1	RBM2	9912	5940
RBMY1A1	RBMY1A1	9912	5940
RBMY1A3P	RBMY1A3P	18849	286557
RBMY1B	RBMY1B	23914	378948
RBMY1C	RBMY1C	9914	5942
RBMY1D	RBMY1D	23915	378949
RBMY1E	RBMY1E	23916	378950
RBMY1F	MGC33094	23974	159163
RBMY1F	RBMY1F	23974	159163
RBMY1GP	RBMY1G	9915	100287769
RBMY1GP	RBMY1GP	9915	100287769
RBMY1HP	RBMY1H	9916	5944
RBMY1HP	RBMY1HP	9916	5944
RBMY1J	RBMY1J	23917	378951
RBMY1KP	RBMY1K	38750	100874497
RBMY1KP	RBMY1KP	38750	100874497
RBMY2AP	RBMY2A	9917	5945
RBMY2AP	RBMY2AP	9917	5945
RBMY2BP	RBMY2B	9918	375850
RBMY2BP	RBMY2BP	9918	375850
RBMY2CP	RBMY2CP	23260	140123
RBMY2DP	RBMY2DP	23259	347598
RBMY2EP	RBMY2EP	23890	159125
RBMY2FP	MGC26641	23891	159162
RBMY2FP	RBMY2FP	23891	159162
RBMY2GP	RBMY2GP	23892	378952
RBMY2HP	RBMY2HP	23893	378953
RBMY2JP	RBMY2JP	23918	378955
RBMY2KP	RBMY2KP	23888	140100
RBMY2MP	RBMY2MP	23889	140101
RBMY2NP	RBMY2NP	23919	378956
RBMY2OP	RBMY2OP	23894	379005
RBMY2QP	RBMY2QP	23895	379006
RBMY2SP	RBMY2SP	23896	379007
RBMY2TP	RBMY2TP	23897	379008
RBMY2UP	RBMY2UP	23898	379009
RBMY2VP	RBMY2VP	23899	379010
RBMY2WP	RBMY2WP	23900	379011
RBMY2XP	RBMY2XP	23901	379012
RBMY2YP	RBMY2YP	23902	379024
RBMY3AP	SPATA14	23286	64593
RBMY3AP	RBMY4P	23286	64593
RBMY3AP	RBMY3P	23286	64593
RBMY3AP	RBMY3AP	23286	64593
RBP1	CRBP1	9919	5947
RBP1	CRBP	9919	5947
RBP1	RBPC	9919	5947
RBP1	CRBPI	9919	5947
RBP1	RBP1	9919	5947
RBP2	CRBP2	9920	5948
RBP2	RBPC2	9920	5948
RBP2	CRBPII	9920	5948
RBP2	RBP2	9920	5948
RBP3	D10S64	9921	5949
RBP3	D10S65	9921	5949
RBP3	D10S66	9921	5949
RBP3	RBP3	9921	5949
RBP4	RBP4	9922	5950
RBP5	CRBPIII	15847	83758
